"jobid","unempdur","interim","callback","old"
3295,0,0,0,0
3265,0,1,0,0
3318,4,0,0,0
3337,0,1,0,0
3355,0,1,0,1
3287,0,1,0,0
3263,52,0,0,0
3327,4,1,0,1
3264,52,1,0,1
3246,24,0,0,1
3335,52,0,0,1
3290,52,0,0,1
3257,0,1,0,1
3319,24,0,0,1
3234,24,0,0,1
3207,12,1,0,0
3333,4,0,0,1
3295,12,1,0,1
3340,12,0,0,0
3344,12,0,0,1
3207,24,1,0,1
3344,52,0,0,1
3230,4,1,0,1
3355,0,0,0,1
3262,24,1,0,0
3368,52,1,0,1
3271,4,0,0,1
3229,52,0,1,0
3230,52,0,0,0
3348,24,1,0,0
3258,4,0,0,1
3349,12,0,0,0
3244,12,0,0,1
3261,12,1,0,1
3307,24,1,0,0
3290,24,1,0,0
3335,12,0,0,0
3285,52,1,0,1
3281,0,1,0,0
3350,4,0,0,0
3249,24,0,0,0
3323,0,0,0,1
3284,0,0,0,0
3328,24,1,0,1
3328,24,0,0,1
3294,52,1,0,1
3238,12,1,0,0
3365,0,0,0,0
3287,52,1,0,1
3265,4,0,0,0
3282,52,0,0,1
3303,12,0,0,1
3290,24,1,0,0
3251,24,1,0,1
3208,52,0,0,1
3358,12,1,0,1
3273,4,1,0,1
3245,12,0,0,1
3324,52,1,0,1
3353,12,1,0,0
3280,12,0,0,0
3283,12,0,0,0
3221,24,0,0,1
3323,12,0,0,0
3211,52,1,0,1
3353,24,0,0,1
3359,12,0,0,0
3320,12,0,0,1
3386,12,1,1,0
3361,24,1,0,0
3319,12,1,0,0
3283,12,1,0,1
3354,4,1,0,0
3275,4,0,0,1
3318,24,1,0,0
3275,12,0,0,0
3288,52,1,0,1
3356,12,0,0,0
3316,52,1,1,0
3298,12,0,0,0
3379,0,0,0,1
3298,24,1,0,0
3277,24,0,0,1
3255,0,0,0,0
3280,0,0,0,1
3310,0,1,0,0
3380,24,0,0,0
3273,24,1,0,0
3307,0,1,0,0
3283,4,1,0,1
3361,52,1,1,1
3306,12,0,0,0
3289,4,1,0,0
3305,24,1,1,0
3305,4,1,0,0
3302,0,0,0,1
3272,24,1,0,1
3252,0,1,0,1
3304,24,1,0,0
3354,4,1,0,1
3304,52,0,0,0
3304,52,1,0,1
3303,12,1,0,0
3199,24,1,0,1
3358,24,0,0,1
3358,12,1,0,0
3352,24,0,0,0
3255,4,0,0,1
3289,52,1,0,1
3254,52,0,0,1
3265,52,0,0,1
3377,12,1,0,1
3253,52,0,0,0
3253,52,0,0,0
3282,4,1,0,1
3362,0,1,0,0
3204,52,1,0,1
3253,24,1,0,1
3373,24,1,0,0
3253,4,1,0,1
3316,12,0,0,1
3252,52,0,1,0
3364,24,1,0,1
3365,24,1,0,0
3294,0,1,0,1
3251,4,0,0,0
