"firm","id","period","place","bonus1","bonus2","bonus3","effort"
"101","101",1,"Cleveland","6","14","14",0
"101","102",1,"Cleveland","6","14","14",10
"101","103",1,"Cleveland","6","14","14",30
"101","104",1,"Cleveland","6","14","14",30
"101","101",2,"Cleveland","6","14","14",0
"101","102",2,"Cleveland","6","14","14",10
"101","103",2,"Cleveland","6","14","14",20
"101","104",2,"Cleveland","6","14","14",10
"101","101",3,"Cleveland","6","14","14",10
"101","102",3,"Cleveland","6","14","14",0
"101","103",3,"Cleveland","6","14","14",10
"101","104",3,"Cleveland","6","14","14",0
"101","101",4,"Cleveland","6","14","14",0
"101","102",4,"Cleveland","6","14","14",0
"101","103",4,"Cleveland","6","14","14",0
"101","104",4,"Cleveland","6","14","14",0
"101","101",5,"Cleveland","6","14","14",0
"101","102",5,"Cleveland","6","14","14",0
"101","103",5,"Cleveland","6","14","14",0
"101","104",5,"Cleveland","6","14","14",0
"101","101",6,"Cleveland","6","14","14",0
"101","102",6,"Cleveland","6","14","14",0
"101","103",6,"Cleveland","6","14","14",0
"101","104",6,"Cleveland","6","14","14",0
"101","101",7,"Cleveland","6","14","14",0
"101","102",7,"Cleveland","6","14","14",0
"101","103",7,"Cleveland","6","14","14",0
"101","104",7,"Cleveland","6","14","14",0
"101","101",8,"Cleveland","6","14","14",0
"101","102",8,"Cleveland","6","14","14",0
"101","103",8,"Cleveland","6","14","14",0
"101","104",8,"Cleveland","6","14","14",0
"101","101",9,"Cleveland","6","14","14",0
"101","102",9,"Cleveland","6","14","14",0
"101","103",9,"Cleveland","6","14","14",0
"101","104",9,"Cleveland","6","14","14",0
"101","101",10,"Cleveland","6","14","14",0
"101","102",10,"Cleveland","6","14","14",0
"101","103",10,"Cleveland","6","14","14",0
"101","104",10,"Cleveland","6","14","14",0
"101","101",11,"Cleveland","6","14","14",20
"101","102",11,"Cleveland","6","14","14",10
"101","103",11,"Cleveland","6","14","14",0
"101","104",11,"Cleveland","6","14","14",10
"101","101",12,"Cleveland","6","14","14",10
"101","102",12,"Cleveland","6","14","14",0
"101","103",12,"Cleveland","6","14","14",10
"101","104",12,"Cleveland","6","14","14",0
"101","101",13,"Cleveland","6","14","14",0
"101","102",13,"Cleveland","6","14","14",0
"101","103",13,"Cleveland","6","14","14",10
"101","104",13,"Cleveland","6","14","14",0
"101","101",14,"Cleveland","6","14","14",0
"101","102",14,"Cleveland","6","14","14",0
"101","103",14,"Cleveland","6","14","14",0
"101","104",14,"Cleveland","6","14","14",0
"101","101",15,"Cleveland","6","14","14",0
"101","102",15,"Cleveland","6","14","14",0
"101","103",15,"Cleveland","6","14","14",0
"101","104",15,"Cleveland","6","14","14",0
"101","101",16,"Cleveland","6","14","14",0
"101","102",16,"Cleveland","6","14","14",0
"101","103",16,"Cleveland","6","14","14",0
"101","104",16,"Cleveland","6","14","14",0
"101","101",17,"Cleveland","6","14","14",0
"101","102",17,"Cleveland","6","14","14",0
"101","103",17,"Cleveland","6","14","14",0
"101","104",17,"Cleveland","6","14","14",0
"101","101",18,"Cleveland","6","14","14",0
