"country","year","democracy","income","sample"
"Andorra","1950-1954",NA,NA,0
"Andorra","1955-1959",NA,NA,0
"Andorra","1960-1964",NA,NA,1
"Andorra","1965-1969",NA,NA,1
"Andorra","1970-1974",0.5,NA,1
"Andorra","1975-1979",NA,NA,1
"Andorra","1980-1984",NA,NA,1
"Andorra","1985-1989",NA,NA,1
"Andorra","1990-1994",NA,NA,1
"Andorra","1995-1999",1,NA,1
"Andorra","2000-2004",1,NA,1
"Afghanistan","1950-1954",0.12,NA,0
"Afghanistan","1955-1959",0.11,NA,0
"Afghanistan","1960-1964",0.14,NA,1
"Afghanistan","1965-1969",0.23,NA,1
"Afghanistan","1970-1974",0.5,NA,1
"Afghanistan","1975-1979",0,NA,1
"Afghanistan","1980-1984",0,NA,1
"Afghanistan","1985-1989",0,NA,1
"Afghanistan","1990-1994",0,NA,1
"Afghanistan","1995-1999",0,NA,1
"Afghanistan","2000-2004",0,NA,1
"Angola","1950-1954",NA,NA,0
"Angola","1955-1959",NA,NA,0
"Angola","1960-1964",NA,7.812518,0
"Angola","1965-1969",0.12,7.963571,0
"Angola","1970-1974",NA,8.11033,0
"Angola","1975-1979",0.1666667,7.642973,0
"Angola","1980-1984",0,7.563512,1
"Angola","1985-1989",0,7.528483,1
"Angola","1990-1994",0,7.57377,1
"Angola","1995-1999",0.1666667,7.132994,1
"Angola","2000-2004",0.1666667,NA,1
"Albania","1950-1954",0.24,NA,0
"Albania","1955-1959",0.24,NA,0
"Albania","1960-1964",0.2,NA,1
"Albania","1965-1969",0.18,NA,1
"Albania","1970-1974",0,NA,1
"Albania","1975-1979",0,NA,1
"Albania","1980-1984",0,NA,1
"Albania","1985-1989",0,NA,1
"Albania","1990-1994",0,NA,1
"Albania","1995-1999",0.6666667,7.947575,1
"Albania","2000-2004",0.5,8.1156,1
"United Arab Emirates","1950-1954",NA,NA,0
"United Arab Emirates","1955-1959",NA,NA,0
"United Arab Emirates","1960-1964",NA,NA,0
"United Arab Emirates","1965-1969",NA,NA,0
"United Arab Emirates","1970-1974",0,NA,0
"United Arab Emirates","1975-1979",0.1666667,NA,0
"United Arab Emirates","1980-1984",0.3333333,NA,1
"United Arab Emirates","1985-1989",0.3333333,NA,1
"United Arab Emirates","1990-1994",0.1666667,NA,1
"United Arab Emirates","1995-1999",0.1666667,NA,1
"United Arab Emirates","2000-2004",0.1666667,NA,1
"Argentina","1950-1954",0.49,8.768732,0
"Argentina","1955-1959",0.3,8.833524,0
"Argentina","1960-1964",0.63,8.905374,1
"Argentina","1965-1969",0.53,9.01616,1
"Argentina","1970-1974",0.1666667,9.13399,1
"Argentina","1975-1979",0.8333333,9.20284,1
"Argentina","1980-1984",0.1666667,9.271142,1
"Argentina","1985-1989",0.8333333,9.065316,1
"Argentina","1990-1994",1,8.884429,1
"Argentina","1995-1999",0.8333333,9.236609,1
"Argentina","2000-2004",1,9.306237,1
"Armenia","1950-1954",NA,NA,0
"Armenia","1955-1959",NA,NA,0
"Armenia","1960-1964",NA,NA,0
"Armenia","1965-1969",NA,NA,0
"Armenia","1970-1974",NA,NA,0
"Armenia","1975-1979",NA,NA,0
"Armenia","1980-1984",NA,NA,0
"Armenia","1985-1989",NA,NA,0
"Armenia","1990-1994",NA,NA,0
"Armenia","1995-1999",0.5,7.735623,0
"Armenia","2000-2004",0.5,7.934454,1
"Antigua","1950-1954",NA,NA,0
"Antigua","1955-1959",NA,NA,0
"Antigua","1960-1964",NA,NA,0
"Antigua","1965-1969",NA,NA,0
"Antigua","1970-1974",NA,NA,0
"Antigua","1975-1979",NA,NA,0
"Antigua","1980-1984",NA,8.995663,0
"Antigua","1985-1989",0.8333333,9.256453,0
"Antigua","1990-1994",0.6666667,9.47458,1
"Antigua","1995-1999",0.5,9.431346,1
"Antigua","2000-2004",0.5,9.722494,1
"Australia","1950-1954",0.99,9.124109,0
"Australia","1955-1959",1,9.200232,0
"Australia","1960-1964",1,9.277876,1
"Australia","1965-1969",1,9.420744,1
"Australia","1970-1974",1,9.603759,1
"Australia","1975-1979",1,9.657485,1
"Australia","1980-1984",1,9.748026,1
"Australia","1985-1989",1,9.820157,1
"Australia","1990-1994",1,9.906652,1
"Australia","1995-1999",1,10.01196,1
"Australia","2000-2004",1,10.14875,1
"Austria","1950-1954",NA,8.346102,0
"Austria","1955-1959",NA,8.622914,0
"Austria","1960-1964",0.97,8.900677,1
"Austria","1965-1969",0.97,9.080444,1
"Austria","1970-1974",1,9.321485,1
"Austria","1975-1979",1,9.49425,1
"Austria","1980-1984",1,9.666615,1
"Austria","1985-1989",1,9.726995,1
"Austria","1990-1994",1,9.894085,1
"Austria","1995-1999",1,9.953502,1
"Austria","2000-2004",1,10.07224,1
"Azerbaijan","1950-1954",NA,NA,0
"Azerbaijan","1955-1959",NA,NA,0
"Azerbaijan","1960-1964",NA,NA,0
"Azerbaijan","1965-1969",NA,NA,0
"Azerbaijan","1970-1974",NA,NA,0
"Azerbaijan","1975-1979",NA,NA,0
"Azerbaijan","1980-1984",NA,NA,0
"Azerbaijan","1985-1989",NA,NA,0
"Azerbaijan","1990-1994",NA,NA,0
"Azerbaijan","1995-1999",0.1666667,7.683833,0
"Azerbaijan","2000-2004",0.1666667,7.936543,1
"Baden","1950-1954",NA,NA,0
"Baden","1955-1959",NA,NA,0
"Baden","1960-1964",NA,NA,0
"Baden","1965-1969",NA,NA,0
"Baden","1970-1974",NA,NA,0
"Baden","1975-1979",NA,NA,0
"Baden","1980-1984",NA,NA,0
"Baden","1985-1989",NA,NA,0
"Baden","1990-1994",NA,NA,0
"Baden","1995-1999",NA,NA,0
"Baden","2000-2004",NA,NA,0
"Bavaria","1950-1954",NA,NA,0
"Bavaria","1955-1959",NA,NA,0
"Bavaria","1960-1964",NA,NA,0
"Bavaria","1965-1969",NA,NA,0
"Bavaria","1970-1974",NA,NA,0
"Bavaria","1975-1979",NA,NA,0
"Bavaria","1980-1984",NA,NA,0
"Bavaria","1985-1989",NA,NA,0
"Bavaria","1990-1994",NA,NA,0
"Bavaria","1995-1999",NA,NA,0
"Bavaria","2000-2004",NA,NA,0
"Burundi","1950-1954",NA,NA,0
"Burundi","1955-1959",NA,NA,0
"Burundi","1960-1964",0.31,6.283445,0
"Burundi","1965-1969",0.58,6.400949,0
"Burundi","1970-1974",0,6.743066,1
"Burundi","1975-1979",0,6.644792,1
"Burundi","1980-1984",0,6.623969,1
"Burundi","1985-1989",0,6.609796,1
"Burundi","1990-1994",0,6.719303,1
"Burundi","1995-1999",0.1666667,6.541517,1
