"id","solsex","solmin","beauty","assertive","social","efficacy","performance","confidence","age","sex","min","treatment","refgift","donation","prior","prtreat","prcontr","prdonation","prsolsex","prsolmin","prbeauty"
2,"male","no",-0.004,3,2,3,4,1,"20","male","no","sgift","no",0,"yes","vcm","no",0,"female","no",26
2,"male","no",-0.004,3,2,3,4,1,"70","female","no","sgift","no",0,"yes","lottery","yes",10,"male","no",29
2,"male","no",-0.004,3,2,3,4,1,"75","female","no","sgift","no",3,"yes","lottery","yes",5,"male","no",29
2,"male","no",-0.004,3,2,3,4,1,"65","male","no","sgift","yes",0,"yes","lottery","no",0,"female","no",33
2,"male","no",-0.004,3,2,3,4,1,"70","male","no","sgift","no",20,"yes","lottery","no",0,"male","yes",35
2,"male","no",-0.004,3,2,3,4,1,NA,NA,NA,"sgift","no",0,"yes","vcm","yes",20,"female","no",40
2,"male","no",-0.004,3,2,3,4,1,NA,NA,NA,"sgift","no",0,"no","none","no",0,NA,NA,NA
2,"male","no",-0.004,3,2,3,4,1,"34","female","no","sgift","yes",0,"no","none","no",0,NA,NA,NA
2,"male","no",-0.004,3,2,3,4,1,NA,NA,NA,"sgift","yes",0,"no","none","no",0,NA,NA,NA
2,"male","no",-0.004,3,2,3,4,1,NA,NA,NA,"sgift","no",0,"no","none","no",0,NA,NA,NA
2,"male","no",-0.004,3,2,3,4,1,"50","female","no","sgift","no",0,"no","none","no",0,NA,NA,NA
2,"male","no",-0.004,3,2,3,4,1,"20","male","no","sgift","no",0,"no","none","no",0,NA,NA,NA
2,"male","no",-0.004,3,2,3,4,1,"20","male","no","sgift","yes",0,"no","none","no",0,NA,NA,NA
2,"male","no",-0.004,3,2,3,4,1,"45","female","no","sgift","no",0,"no","none","no",0,NA,NA,NA
2,"male","no",-0.004,3,2,3,4,1,"70","female","no","sgift","yes",2,"no","none","no",0,NA,NA,NA
2,"male","no",-0.004,3,2,3,4,1,"34","female","no","sgift","no",5,"no","none","no",0,NA,NA,NA
2,"male","no",-0.004,3,2,3,4,1,"28","female","no","sgift","yes",5,"no","none","no",0,NA,NA,NA
2,"male","no",-0.004,3,2,3,4,1,"34","female","no","sgift","no",10,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"45","female","no","lgift","no",4,"yes","lottery","no",0,"male","no",29
3,"male","yes",-0.318,0,8,4,8,8,"40","male","no","lgift","no",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"30","male","no","lgift","yes",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"45","male","no","lgift","yes",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"60","male","no","lgift","yes",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"55","female","no","lgift","yes",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"70","female","no","lgift","yes",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"65","female","no","lgift","no",10,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"40","male","no","lgift","no",100,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"70","female","no","sgift","no",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"45","male","no","sgift","yes",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"60","male","no","sgift","no",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"50","male","no","sgift","no",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"70","male","no","sgift","yes",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"55","female","yes","sgift","no",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"45","male","no","sgift","no",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"35","male","no","sgift","no",0,"no","none","no",0,NA,NA,NA
3,"male","yes",-0.318,0,8,4,8,8,"60","female","no","sgift","no",2,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"40","female","no","sgift","no",0,"yes","vcm","yes",1,"male","yes",8
4,"female","yes",-0.347,7,7,1,7,7,"50","male","yes","sgift","no",0,"yes","lottery","no",0,"female","yes",19
4,"female","yes",-0.347,7,7,1,7,7,"70","male","no","sgift","yes",0,"yes","vcm","yes",1,"male","yes",18
4,"female","yes",-0.347,7,7,1,7,7,"40","female","no","sgift","no",0,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"20","female","no","sgift","yes",0,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"65","female","no","sgift","yes",0,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"50","male","no","sgift","no",0,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"20","male","yes","sgift","yes",0,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"50","female","no","sgift","yes",0,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"20","female","no","sgift","no",0,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"20","male","no","sgift","no",0,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"65","male","no","sgift","yes",0,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"35","female","no","sgift","yes",0,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"40","female","no","sgift","no",0,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"50","male","no","sgift","no",1,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"40","male","no","sgift","no",1,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"20","female","yes","sgift","no",1.25,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"20","male","yes","sgift","no",2,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"70","male","no","sgift","no",2,"no","none","no",0,NA,NA,NA
4,"female","yes",-0.347,7,7,1,7,7,"60","female","yes","sgift","no",2,"no","none","no",0,NA,NA,NA
5,"male","yes",-0.087,7,5,1,7,5,"40","male","no","vcm","no",10,"yes","lottery","no",0,"male","no",27
5,"male","yes",-0.087,7,5,1,7,5,"50","male","no","vcm","no",0,"no","none","no",0,NA,NA,NA
5,"male","yes",-0.087,7,5,1,7,5,"40","male","no","vcm","no",0,"no","none","no",0,NA,NA,NA
5,"male","yes",-0.087,7,5,1,7,5,"30","female","no","vcm","no",5,"no","none","no",0,NA,NA,NA
7,"male","no",0.185,7,8,7,4,8,"80","female","no","vcm","no",0,"yes","vcm","no",0,"male","yes",18
7,"male","no",0.185,7,8,7,4,8,"50","male","no","sgift","no",0,"yes","lottery","no",0,"female","no",13
7,"male","no",0.185,7,8,7,4,8,"40","female","no","sgift","no",0,"yes","lottery","no",0,"female","no",13
7,"male","no",0.185,7,8,7,4,8,"60","male","no","sgift","no",25,"yes","lottery","no",0,"female","no",13
7,"male","no",0.185,7,8,7,4,8,"30","male","no","sgift","no",0,"yes","lottery","yes",1,"male","no",10
7,"male","no",0.185,7,8,7,4,8,"50","male","no","vcm","no",0,"yes","lottery","no",0,"male","no",10
7,"male","no",0.185,7,8,7,4,8,"60","female","no","vcm","no",0,"yes","lottery","no",0,"male","no",10
7,"male","no",0.185,7,8,7,4,8,"35","female","no","vcm","no",10,"yes","lottery","yes",4,"male","no",10
7,"male","no",0.185,7,8,7,4,8,"20","female","no","vcm","no",0,"yes","lottery","no",0,"female","yes",7
7,"male","no",0.185,7,8,7,4,8,"40","male","no","sgift","no",0,"yes","lottery","no",0,"male","no",6
7,"male","no",0.185,7,8,7,4,8,"50","female","no","sgift","no",10,"yes","lottery","no",0,"male","no",6
7,"male","no",0.185,7,8,7,4,8,"50","male","no","vcm","no",0,"yes","vcm","no",0,"female","no",39
7,"male","no",0.185,7,8,7,4,8,"50","male","no","sgift","no",0,"no","none","no",0,NA,NA,NA
7,"male","no",0.185,7,8,7,4,8,"40","male","no","sgift","no",0,"no","none","no",0,NA,NA,NA
7,"male","no",0.185,7,8,7,4,8,"30","male","no","sgift","no",0,"no","none","no",0,NA,NA,NA
7,"male","no",0.185,7,8,7,4,8,"30","male","no","sgift","no",0,"no","none","no",0,NA,NA,NA
7,"male","no",0.185,7,8,7,4,8,"60","female","no","sgift","no",0,"no","none","no",0,NA,NA,NA
