"pair","article","brc","pubyear","brcyear","year","citations"
184,1184,"yes",1983,1994,1983,0
184,1184,"yes",1983,1994,1984,31
184,1184,"yes",1983,1994,1985,89
184,1184,"yes",1983,1994,1986,105
184,1184,"yes",1983,1994,1987,84
184,1184,"yes",1983,1994,1988,75
184,1184,"yes",1983,1994,1989,63
184,1184,"yes",1983,1994,1990,51
184,1184,"yes",1983,1994,1991,36
184,1184,"yes",1983,1994,1992,34
184,1184,"yes",1983,1994,1993,43
184,1184,"yes",1983,1994,1994,16
184,1184,"yes",1983,1994,1995,17
184,1184,"yes",1983,1994,1996,17
184,1184,"yes",1983,1994,1997,8
184,1184,"yes",1983,1994,1998,14
184,1184,"yes",1983,1994,1999,9
184,1184,"yes",1983,1994,2000,8
184,1184,"yes",1983,1994,2001,2
185,1185,"yes",1992,1994,1992,1
185,1185,"yes",1992,1994,1993,3
185,1185,"yes",1992,1994,1994,2
185,1185,"yes",1992,1994,1995,7
185,1185,"yes",1992,1994,1996,4
185,1185,"yes",1992,1994,1997,3
185,1185,"yes",1992,1994,1998,1
185,1185,"yes",1992,1994,1999,2
185,1185,"yes",1992,1994,2000,0
185,1185,"yes",1992,1994,2001,0
186,1186,"yes",1986,1994,1986,5
186,1186,"yes",1986,1994,1987,9
186,1186,"yes",1986,1994,1988,8
186,1186,"yes",1986,1994,1989,19
186,1186,"yes",1986,1994,1990,11
186,1186,"yes",1986,1994,1991,12
186,1186,"yes",1986,1994,1992,18
186,1186,"yes",1986,1994,1993,10
186,1186,"yes",1986,1994,1994,8
186,1186,"yes",1986,1994,1995,8
186,1186,"yes",1986,1994,1996,14
186,1186,"yes",1986,1994,1997,12
186,1186,"yes",1986,1994,1998,4
186,1186,"yes",1986,1994,1999,8
186,1186,"yes",1986,1994,2000,4
186,1186,"yes",1986,1994,2001,2
187,1187,"yes",1985,1994,1985,2
187,1187,"yes",1985,1994,1986,5
187,1187,"yes",1985,1994,1987,6
187,1187,"yes",1985,1994,1988,8
187,1187,"yes",1985,1994,1989,5
187,1187,"yes",1985,1994,1990,4
187,1187,"yes",1985,1994,1991,6
187,1187,"yes",1985,1994,1992,3
187,1187,"yes",1985,1994,1993,5
187,1187,"yes",1985,1994,1994,2
187,1187,"yes",1985,1994,1995,7
187,1187,"yes",1985,1994,1996,7
187,1187,"yes",1985,1994,1997,4
187,1187,"yes",1985,1994,1998,5
187,1187,"yes",1985,1994,1999,5
187,1187,"yes",1985,1994,2000,5
187,1187,"yes",1985,1994,2001,3
188,1188,"yes",1989,1994,1989,2
188,1188,"yes",1989,1994,1990,81
188,1188,"yes",1989,1994,1991,116
188,1188,"yes",1989,1994,1992,158
188,1188,"yes",1989,1994,1993,135
188,1188,"yes",1989,1994,1994,112
188,1188,"yes",1989,1994,1995,68
188,1188,"yes",1989,1994,1996,66
188,1188,"yes",1989,1994,1997,42
188,1188,"yes",1989,1994,1998,47
188,1188,"yes",1989,1994,1999,35
188,1188,"yes",1989,1994,2000,23
188,1188,"yes",1989,1994,2001,31
189,1189,"yes",1990,1994,1990,1
189,1189,"yes",1990,1994,1991,2
189,1189,"yes",1990,1994,1992,11
189,1189,"yes",1990,1994,1993,5
189,1189,"yes",1990,1994,1994,9
189,1189,"yes",1990,1994,1995,5
189,1189,"yes",1990,1994,1996,6
189,1189,"yes",1990,1994,1997,6
189,1189,"yes",1990,1994,1998,9
189,1189,"yes",1990,1994,1999,2
189,1189,"yes",1990,1994,2000,5
189,1189,"yes",1990,1994,2001,2
190,1190,"yes",1973,1982,1973,0
190,1190,"yes",1973,1982,1974,2
190,1190,"yes",1973,1982,1975,1
190,1190,"yes",1973,1982,1976,2
190,1190,"yes",1973,1982,1977,1
190,1190,"yes",1973,1982,1978,0
190,1190,"yes",1973,1982,1979,1
190,1190,"yes",1973,1982,1980,2
190,1190,"yes",1973,1982,1981,2
190,1190,"yes",1973,1982,1982,1
190,1190,"yes",1973,1982,1983,0
190,1190,"yes",1973,1982,1984,2
190,1190,"yes",1973,1982,1985,0
190,1190,"yes",1973,1982,1986,1
190,1190,"yes",1973,1982,1987,1
190,1190,"yes",1973,1982,1988,0
190,1190,"yes",1973,1982,1989,2
190,1190,"yes",1973,1982,1990,1
190,1190,"yes",1973,1982,1991,1
190,1190,"yes",1973,1982,1992,1
190,1190,"yes",1973,1982,1993,0
190,1190,"yes",1973,1982,1994,0
190,1190,"yes",1973,1982,1995,0
190,1190,"yes",1973,1982,1996,2
190,1190,"yes",1973,1982,1997,0
190,1190,"yes",1973,1982,1998,0
190,1190,"yes",1973,1982,1999,0
190,1190,"yes",1973,1982,2000,1
190,1190,"yes",1973,1982,2001,0
191,1191,"yes",1973,1982,1973,2
191,1191,"yes",1973,1982,1974,7
191,1191,"yes",1973,1982,1975,9
191,1191,"yes",1973,1982,1976,4
191,1191,"yes",1973,1982,1977,10
191,1191,"yes",1973,1982,1978,2
191,1191,"yes",1973,1982,1979,0
191,1191,"yes",1973,1982,1980,6
191,1191,"yes",1973,1982,1981,2
191,1191,"yes",1973,1982,1982,6
191,1191,"yes",1973,1982,1983,8
191,1191,"yes",1973,1982,1984,3
191,1191,"yes",1973,1982,1985,3
191,1191,"yes",1973,1982,1986,4
191,1191,"yes",1973,1982,1987,0
191,1191,"yes",1973,1982,1988,3
191,1191,"yes",1973,1982,1989,0
191,1191,"yes",1973,1982,1990,1
191,1191,"yes",1973,1982,1991,1
191,1191,"yes",1973,1982,1992,1
191,1191,"yes",1973,1982,1993,2
191,1191,"yes",1973,1982,1994,1
191,1191,"yes",1973,1982,1995,1
191,1191,"yes",1973,1982,1996,0
191,1191,"yes",1973,1982,1997,1
191,1191,"yes",1973,1982,1998,0
191,1191,"yes",1973,1982,1999,1
191,1191,"yes",1973,1982,2000,0
191,1191,"yes",1973,1982,2001,0
192,1192,"yes",1973,1982,1973,2
192,1192,"yes",1973,1982,1974,2
192,1192,"yes",1973,1982,1975,6
192,1192,"yes",1973,1982,1976,3
192,1192,"yes",1973,1982,1977,7
192,1192,"yes",1973,1982,1978,3
192,1192,"yes",1973,1982,1979,5
192,1192,"yes",1973,1982,1980,3
192,1192,"yes",1973,1982,1981,5
192,1192,"yes",1973,1982,1982,3
192,1192,"yes",1973,1982,1983,7
192,1192,"yes",1973,1982,1984,4
192,1192,"yes",1973,1982,1985,5
192,1192,"yes",1973,1982,1986,3
192,1192,"yes",1973,1982,1987,6
192,1192,"yes",1973,1982,1988,2
192,1192,"yes",1973,1982,1989,4
192,1192,"yes",1973,1982,1990,6
192,1192,"yes",1973,1982,1991,7
192,1192,"yes",1973,1982,1992,9
192,1192,"yes",1973,1982,1993,4
192,1192,"yes",1973,1982,1994,3
192,1192,"yes",1973,1982,1995,7
192,1192,"yes",1973,1982,1996,2
192,1192,"yes",1973,1982,1997,2
192,1192,"yes",1973,1982,1998,2
192,1192,"yes",1973,1982,1999,1
192,1192,"yes",1973,1982,2000,2
192,1192,"yes",1973,1982,2001,2
193,1193,"yes",1977,1982,1977,4
193,1193,"yes",1977,1982,1978,7
193,1193,"yes",1977,1982,1979,11
193,1193,"yes",1977,1982,1980,9
193,1193,"yes",1977,1982,1981,14
193,1193,"yes",1977,1982,1982,8
193,1193,"yes",1977,1982,1983,8
193,1193,"yes",1977,1982,1984,12
193,1193,"yes",1977,1982,1985,21
193,1193,"yes",1977,1982,1986,12
193,1193,"yes",1977,1982,1987,15
193,1193,"yes",1977,1982,1988,14
193,1193,"yes",1977,1982,1989,12
193,1193,"yes",1977,1982,1990,8
193,1193,"yes",1977,1982,1991,17
193,1193,"yes",1977,1982,1992,19
193,1193,"yes",1977,1982,1993,21
193,1193,"yes",1977,1982,1994,16
193,1193,"yes",1977,1982,1995,17
193,1193,"yes",1977,1982,1996,23
193,1193,"yes",1977,1982,1997,15
193,1193,"yes",1977,1982,1998,12
193,1193,"yes",1977,1982,1999,12
193,1193,"yes",1977,1982,2000,20
193,1193,"yes",1977,1982,2001,13
194,1194,"yes",1982,1982,1982,0
194,1194,"yes",1982,1982,1983,0
194,1194,"yes",1982,1982,1984,1
194,1194,"yes",1982,1982,1985,1
194,1194,"yes",1982,1982,1986,0
194,1194,"yes",1982,1982,1987,0
194,1194,"yes",1982,1982,1988,2
194,1194,"yes",1982,1982,1989,3
194,1194,"yes",1982,1982,1990,0
194,1194,"yes",1982,1982,1991,1
194,1194,"yes",1982,1982,1992,0
194,1194,"yes",1982,1982,1993,1
194,1194,"yes",1982,1982,1994,1
194,1194,"yes",1982,1982,1995,0
194,1194,"yes",1982,1982,1996,1
194,1194,"yes",1982,1982,1997,0
194,1194,"yes",1982,1982,1998,0
194,1194,"yes",1982,1982,1999,0
194,1194,"yes",1982,1982,2000,0
194,1194,"yes",1982,1982,2001,0
195,1195,"yes",1977,1982,1977,NA
195,1195,"yes",1977,1982,1978,NA
195,1195,"yes",1977,1982,1979,NA
195,1195,"yes",1977,1982,1980,NA
195,1195,"yes",1977,1982,1981,NA
195,1195,"yes",1977,1982,1982,NA
195,1195,"yes",1977,1982,1983,NA
195,1195,"yes",1977,1982,1984,NA
195,1195,"yes",1977,1982,1985,NA
195,1195,"yes",1977,1982,1986,NA
195,1195,"yes",1977,1982,1987,NA
195,1195,"yes",1977,1982,1988,11
