"country","period","growth","yssw","yssm","pinv","lgdp","gini"
"ABW","1961-65",NA,NA,NA,NA,NA,NA
"ABW","1966-70",NA,NA,NA,NA,NA,NA
"ABW","1971-75",NA,NA,NA,NA,NA,NA
"ABW","1976-80",NA,NA,NA,NA,NA,NA
"ABW","1981-85",NA,NA,NA,NA,NA,NA
"ABW","1986-90",NA,NA,NA,NA,NA,NA
"ABW","1991-95",NA,NA,NA,NA,NA,NA
"ADA","1961-65",NA,NA,NA,NA,NA,NA
"ADA","1966-70",NA,NA,NA,NA,NA,NA
"ADA","1971-75",NA,NA,NA,NA,NA,NA
"ADA","1976-80",NA,NA,NA,NA,NA,NA
"ADA","1981-85",NA,NA,NA,NA,NA,NA
"ADA","1986-90",NA,NA,NA,NA,NA,NA
"ADA","1991-95",NA,NA,NA,NA,NA,NA
"ADO","1961-65",NA,NA,NA,NA,NA,NA
"ADO","1966-70",NA,NA,NA,NA,NA,NA
"ADO","1971-75",NA,NA,NA,NA,NA,NA
"ADO","1976-80",NA,NA,NA,NA,NA,NA
"ADO","1981-85",NA,NA,NA,NA,NA,NA
"ADO","1986-90",NA,NA,NA,NA,NA,NA
"ADO","1991-95",NA,NA,NA,NA,NA,NA
"AFG","1961-65",NA,0.0979999974370003,0.467999994754791,NA,NA,NA
"AFG","1966-70",NA,0.0810000002384186,0.379999995231628,NA,NA,NA
"AFG","1971-75",NA,0.0750000029802322,0.34400001168251,NA,NA,NA
"AFG","1976-80",NA,0.0480000004172325,0.393999993801117,NA,NA,NA
"AFG","1981-85",NA,0.0529999993741512,0.41100001335144,NA,NA,NA
"AFG","1986-90",NA,0.0659999996423721,0.419999986886978,NA,NA,NA
"AFG","1991-95",NA,0.0939999967813492,0.397000014781952,NA,NA,NA
"AGO","1961-65",0.0263299942016602,NA,NA,113.98999786377,6.96790933609009,NA
"AGO","1966-70",0.0185133926570415,NA,NA,103.970001220703,7.06047630310059,NA
"AGO","1971-75",-0.0932126045227051,NA,NA,143.619995117188,6.59441328048706,NA
"AGO","1976-80",-0.0159400943666697,NA,NA,190.860000610352,6.51471281051636,NA
"AGO","1981-85",0.0103919031098485,NA,NA,252.809997558594,6.56667232513428,NA
"AGO","1986-90",-0.00354111194610596,NA,NA,316.760009765625,6.55250787734985,NA
"AGO","1991-95",NA,NA,NA,NA,NA,NA
"AIA","1961-65",NA,NA,NA,NA,NA,NA
"AIA","1966-70",NA,NA,NA,NA,NA,NA
"AIA","1971-75",NA,NA,NA,NA,NA,NA
"AIA","1976-80",NA,NA,NA,NA,NA,NA
"AIA","1981-85",NA,NA,NA,NA,NA,NA
"AIA","1986-90",NA,NA,NA,NA,NA,NA
"AIA","1991-95",NA,NA,NA,NA,NA,NA
"ALB","1961-65",NA,NA,NA,NA,NA,NA
"ALB","1966-70",NA,NA,NA,NA,NA,NA
"ALB","1971-75",NA,NA,NA,NA,NA,NA
"ALB","1976-80",NA,NA,NA,NA,NA,NA
"ALB","1981-85",NA,NA,NA,NA,NA,NA
"ALB","1986-90",NA,NA,NA,NA,NA,NA
"ALB","1991-95",NA,NA,NA,NA,NA,NA
"ANT","1961-65",NA,NA,NA,NA,NA,NA
"ANT","1966-70",NA,NA,NA,NA,NA,NA
"ANT","1971-75",NA,NA,NA,NA,NA,NA
"ANT","1976-80",NA,NA,NA,NA,NA,NA
"ANT","1981-85",NA,NA,NA,NA,NA,NA
"ANT","1986-90",NA,NA,NA,NA,NA,NA
"ANT","1991-95",NA,NA,NA,NA,NA,NA
"ARE","1961-65",NA,NA,NA,NA,NA,NA
"ARE","1966-70",NA,NA,NA,NA,NA,NA
"ARE","1971-75",NA,0.865000009536743,1.17799997329712,NA,NA,NA
"ARE","1976-80",NA,NA,NA,110.720001220703,10.372522354126,NA
"ARE","1981-85",-0.0973583236336708,NA,NA,100.610000610352,9.8857307434082,NA
"ARE","1986-90",-0.0176594257354736,NA,NA,108.449996948242,9.81509304046631,NA
"ARE","1991-95",NA,NA,NA,NA,NA,NA
"ARG","1961-65",0.0234867092221975,0.611999988555908,0.746999979019165,93.8300018310547,8.52078628540039,NA
"ARG","1966-70",0.0232641212642193,0.723999977111816,0.861000001430511,84.4400024414062,8.63710689544678,NA
"ARG","1971-75",0.0142074581235647,0.84799998998642,0.83899998664856,107.059997558594,8.70814418792725,NA
"ARG","1976-80",0.0144672393798828,1.10899996757507,1.067999958992,185.639999389648,8.78048038482666,NA
"ARG","1981-85",-0.04010009765625,1.28900003433228,1.18599998950958,78.3099975585938,8.57997989654541,NA
"ARG","1986-90",-0.0246772766113281,1.58599996566772,1.55099999904633,90.5699996948242,8.45659351348877,NA
"ARG","1991-95",NA,1.80900001525879,1.71099996566772,NA,NA,NA
"ARM","1961-65",NA,NA,NA,NA,NA,NA
"ARM","1966-70",NA,NA,NA,NA,NA,NA
"ARM","1971-75",NA,NA,NA,NA,NA,NA
"ARM","1976-80",NA,NA,NA,NA,NA,NA
"ARM","1981-85",NA,NA,NA,NA,NA,NA
"ARM","1986-90",NA,NA,NA,NA,NA,39.3899993896484
"ARM","1991-95",NA,NA,NA,NA,NA,NA
"ASM","1961-65",NA,NA,NA,NA,NA,NA
"ASM","1966-70",NA,NA,NA,NA,NA,NA
"ASM","1971-75",NA,NA,NA,NA,NA,NA
"ASM","1976-80",NA,NA,NA,NA,NA,NA
"ASM","1981-85",NA,NA,NA,NA,NA,NA
"ASM","1986-90",NA,NA,NA,NA,NA,NA
"ASM","1991-95",NA,NA,NA,NA,NA,NA
"ATG","1961-65",NA,NA,NA,NA,NA,NA
"ATG","1966-70",NA,NA,NA,NA,NA,NA
"ATG","1971-75",NA,NA,NA,NA,NA,NA
"ATG","1976-80",NA,NA,NA,NA,NA,NA
"ATG","1981-85",NA,NA,NA,NA,NA,NA
"ATG","1986-90",NA,NA,NA,NA,NA,NA
"ATG","1991-95",NA,NA,NA,NA,NA,NA
"AUS","1961-65",0.0251096729189157,2.42199993133545,2.66100001335144,73.0100021362305,9.08511734008789,NA
"AUS","1966-70",0.0396203994750977,2.76799988746643,3.11899995803833,69.4000015258789,9.28321933746338,32.0200004577637
"AUS","1971-75",0.0134983062744141,2.69199991226196,3.0220000743866,105.48999786377,9.35071086883545,NA
"AUS","1976-80",0.0168743133544922,2.74399995803833,3.05800008773804,98.7099990844727,9.43508243560791,39.3300018310547
"AUS","1981-85",0.0162982940673828,2.82699990272522,3.09999990463257,72.6500015258789,9.51657390594482,37.5800018310547
"AUS","1986-90",0.0123060224577785,2.89000010490417,3.11299991607666,85.6399993896484,9.57810401916504,41.7200012207031
"AUS","1991-95",0.000449657440185547,3,3.18099999427795,77.5199966430664,9.57900333404541,NA
"AUT","1961-65",0.0355678573250771,2.12400007247925,4.89699983596802,84.3899993896484,8.72323131561279,NA
"AUT","1966-70",0.0401519760489464,2.3510000705719,4.92399978637695,74.7699966430664,8.92399120330811,NA
"AUT","1971-75",0.0347703918814659,2.32299995422363,4.45499992370605,107.309997558594,9.09784317016602,NA
