"province","region","year","pop","y","g","cd","cds1","cds2","u1","u2","mafiosi","extortion","corruption1","corruption2","murder"
"Torino","Piemonte",1987,2267265,0.9885373711586,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Torino","Piemonte",1988,2263014,4.24200868606567,0.201592922210693,0,0,0,-0.520002365112305,0.027250349521637,-0.00705613242462277,3.47979366779327e-05,-0.050626628100872,-0.0021340474486351,0
"Torino","Piemonte",1989,2258337,1.86181724071503,0.0494938902556896,0,0,0,-0.453246712684631,-0.00339257717132568,0.00354334502480924,0.00446647219359875,0.0085185132920742,-0.00656335428357124,0.00132841116283089
"Torino","Piemonte",1990,2241246,0.91313636302948,0.0551725700497627,0,0,0,0.567633509635925,0.0163208246231079,-0.00398523360490799,-0.00294767506420612,-0.0486273691058159,-0.0153765678405762,-0.000882230815477669
"Torino","Piemonte",1991,2235826,-1.91421902179718,-0.427830785512924,0,0,0,0.405232191085815,0.00350648164749146,0,0.0174918901175261,0.011207508854568,-0.00532820634543896,-0.00044618037645705
"Torino","Piemonte",1992,2236422,0.222282722592354,0.300728559494019,0,0,0,0.181832790374756,-0.000266611576080322,0.00134142837487161,0.000437129288911819,0.0143027305603027,0.0277199912816286,0
"Torino","Piemonte",1993,2236325,-3.86473608016968,-0.133478537201881,0,0,0,0.207839012145996,-0.046579897403717,0.000447220401838422,0.00670908391475677,0.0541081950068474,0.020571131259203,0.000894324388355017
"Torino","Piemonte",1994,2228168,4.84941530227661,-0.302400708198547,0,0,0,-0.278903722763062,-0.0135382413864136,-0.00133984955027699,0.0163204707205296,0.00122827291488647,-0.00247671082615852,-0.000894324388355017
"Torino","Piemonte",1995,2220724,3.82004761695862,0.0613875649869442,0.00166612328030169,0.00166612328030169,0,-0.603914737701416,0.00796008110046387,0.000902111525647342,0.0101112797856331,0.0345299765467644,0.0168507844209671,0
"Torino","Piemonte",1996,2222265,-1.79307734966278,0.0287300478667021,0,0,0,-0.279284238815308,0.0152884125709534,-0.000900919432751834,-0.00904916599392891,-0.0725360438227654,-0.0356002114713192,0.000449991348432377
"Torino","Piemonte",1997,2219971,2.13063907623291,0.000942304031923413,0,0,0,-0.107379674911499,-0.0103568434715271,-0.000449991348432377,0.000965084880590439,0.0189744979143143,-0.0193305630236864,-0.000449991348432377
"Torino","Piemonte",1998,2216582,-2.98087382316589,0.0361239612102509,0,0,0,-0.443215608596802,-0.0181374549865723,0,0.0231048166751862,-0.0224463678896427,0.00905113853514194,0
"Torino","Piemonte",1999,2214282,0.63252592086792,0.0491803213953972,0,0,0,NA,NA,0,-0.0116524547338486,-0.00581895932555199,-0.00990691594779491,0
"Vercelli","Piemonte",1987,379622,1.69172716140747,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Vercelli","Piemonte",1988,377759,5.43302440643311,0.0656640455126762,0,0,0,-0.365866184234619,0.0173420906066895,0,-0.0762358903884888,-0.00256924424320459,-0.00255625322461128,0
"Vercelli","Piemonte",1989,376299,2.61417770385742,-0.278616070747375,0,0,0,-0.0229892730712891,-0.0274782180786133,0,-0.0105065945535898,-0.00526356790214777,-0.0105682201683521,0
"Vercelli","Piemonte",1990,375629,-2.51019978523254,-0.0658372640609741,0,0,0,0.0649473667144775,0.0207101702690125,0,0.0479575470089912,-0.0026479815132916,0.00267168181017041,0
"Vercelli","Piemonte",1991,374826,-1.28399157524109,-0.000297544291242957,0,0,0,0.114667177200317,-0.0231777429580688,0,-0.00785543024539948,1.14068388938904e-05,0.00535291898995638,0
"Vercelli","Piemonte",1992,374529,-0.766995787620544,0.230839625000954,0,0,0,0.088923454284668,-0.0384280681610107,0,0.0133987590670586,0.0400545373558998,0.00802063755691051,0
"Vercelli","Piemonte",1993,374414,-3.20065665245056,0.204822152853012,0,0,0,0.127565145492554,-0.00638186931610107,0,-0.021343756467104,0.0828099921345711,0.0507525280117989,0
"Vercelli","Piemonte",1994,373757,2.43498635292053,-0.342671513557434,0,0,0,-0.22507643699646,0.0216904878616333,0,-0.00525717437267303,-0.0800407081842422,-0.0346551947295666,0
"Vercelli","Piemonte",1995,373048,5.90805721282959,0.11176747828722,0,0,0,-0.908868789672852,-0.00470191240310669,0,0.0188558734953403,-0.0293952915817499,7.11902976036072e-05,0
"Vercelli","Piemonte",1996,372323,2.30177879333496,-0.206601217389107,0,0,0,0.215863704681396,0.021618127822876,0,-0.0294137448072433,0.0107798986136913,-0.00798444263637066,0
"Vercelli","Piemonte",1997,371155,2.15267848968506,0.100864239037037,0,0,0,-0.193467378616333,0.0224351286888123,0,0.0216726660728455,0.021647309884429,0.0108701419085264,0
"Vercelli","Piemonte",1998,370323,-3.75139665603638,-0.00138411519583315,0,0,0,-0.366448640823364,-0.00414556264877319,0,0.0055338591337204,-0.0376898236572742,-0.0296129994094372,0
"Vercelli","Piemonte",1999,370116,-0.253302037715912,0.579173564910889,0,0,0,NA,NA,0,-0.0107711739838123,0.0189205408096313,0.0243227407336235,0
"Novara","Piemonte",1987,497002,1.46483755111694,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Novara","Piemonte",1988,496682,6.51156997680664,0.0202987603843212,0,0,0,-0.336877107620239,0.0206447243690491,-0.0100603215396404,0.00807677954435349,0.0302055925130844,0.0241642184555531,0
"Novara","Piemonte",1989,496236,1.92464816570282,-0.338176071643829,0,0,0,-0.169390439987183,0.0205068588256836,0,-0.018096724525094,-0.0342235118150711,-0.0241548996418715,0
"Novara","Piemonte",1990,496390,-1.78007316589355,0.229510009288788,0,0,0,-0.203850507736206,0.00453227758407593,0,0.00402096286416054,0.0161151103675365,0.0140999387949705,0.00805818010121584
"Novara","Piemonte",1991,496272,-1.91412711143494,0.0304113980382681,0,0,0,-0.0258400440216064,0.00505703687667847,0,0.012097330763936,-0.00604028161615133,-0.00402525812387466,-0.00805818010121584
"Novara","Piemonte",1992,498673,-0.816770255565643,0.307684689760208,0,0,0,0.00192642211914062,-0.00964570045471191,0,-0.0302835740149021,-0.00207323580980301,0.00994899682700634,0
"Novara","Piemonte",1993,500197,-3.16588950157166,0.109336689114571,0,0,0,0.252724647521973,-0.0225642323493958,0.0259897597134113,0.0239538885653019,0.0439460128545761,0.0239111203700304,0
"Novara","Piemonte",1994,500377,4.31704473495483,-1.11530077457428,0,0,0,-0.407124996185303,-0.0508756041526794,-0.0259897597134113,0.00598253682255745,0.20982164144516,0.0659322887659073,0
