"year","magazine","price","change","length","cpi","cuminf","sales","cumsales","included","id"
49,"Antiques",0.65,0,2,19.32,0.075781613,243382,0.0051574535,0,NA
50,"Antiques",0.65,0,3,19.46,0.083001861,251118,0.036448176,0,NA
51,"Antiques",0.65,0,4,20.64,0.14187172,257160,0.060223687,0,NA
52,"Antiques",0.65,0,5,21.15,0.16628069,274473,0.12537812,0,NA
53,"Antiques",0.65,1,6,21.57,0.18594424,267949,0.10132189,1,1
54,"Antiques",0.75,0,1,21.8,0.010606509,254112,-0.053021549,1,1
55,"Antiques",0.75,0,2,22.13,0.025630694,252832,-0.058071427,1,1
56,"Antiques",0.75,0,3,22.92,0.060706431,257368,-0.040289697,1,2
57,"Antiques",0.75,1,4,23.71,0.09459344,251761,-0.062316439,1,2
58,"Antiques",1,0,1,24.11,0.016729792,234011,-0.073112102,1,2
59,"Antiques",1,0,2,24.37,0.027455968,227322,-0.10211271,1,3
60,"Antiques",1,0,3,24.65,0.03888,225896,-0.10840551,1,3
61,"Antiques",1,0,4,24.85,0.046960852,218997,-0.13942219,1,3
62,"Antiques",1,0,5,25.08,0.056173816,217299,-0.14720594,1,4
63,"Antiques",1,1,6,25.27,0.063721021,225468,-0.11030198,1,4
64,"Antiques",1.25,0,1,25.58,0.012192875,226379,0.0040323438,1,4
65,"Antiques",1.25,0,2,25.94,0.026168257,237203,0.050738073,1,5
66,"Antiques",1.25,1,3,26.54,0.049035108,243599,0.077345189,1,5
67,"Antiques",1.5,0,1,27.4,0.031889984,248814,0.021182199,1,5
68,"Antiques",1.5,1,2,28.45,0.069495132,246664,0.012503656,1,6
69,"Antiques",1.75,0,1,29.74,0.04434478,232825,-0.057739988,1,6
70,"Antiques",1.75,0,2,31.08,0.088416365,234103,-0.052265897,1,6
71,"Antiques",1.75,1,3,32.43,0.13093576,246398,-0.0010789719,1,7
72,"Antiques",2,0,1,33.38,0.028872998,255773,0.037342218,1,7
73,"Antiques",2,0,2,34.58,0.06419156,270173,0.09211438,1,7
74,"Antiques",2,1,3,38.15,0.16244184,269481,0.089549772,1,8
75,"Antiques",2.5,1,1,42.24,0.10184188,256683,-0.048656026,1,8
76,"Antiques",3,0,1,44.5,0.05212155,266460,0.037382278,1,8
77,"Antiques",3,0,2,47.36,0.11441035,243387,-0.053189091,1,9
78,"Antiques",3,1,3,50.6,0.18058394,251526,-0.020295497,1,9
79,"Antiques",3.5,0,1,54.9,0.081561772,225692,-0.10837513,1,9
80,"Antiques",3.5,NA,2,NA,NA,NA,NA,0,NA
47,"Architectural Review",1,1,1,17.91,0.10902751,242130,0.040846947,0,NA
