"country","period","regineq","gdppc","pop","popgini","urban","social","unempl","dec","transrev","transaut"
"Austria","1982-1984",0.2219516,11.4767,7.5593,0.3132,0.6716,17.7333,4.2333,0.4084,0.0969,0.2818
"Austria","1985-1987",0.2319006,14.1367,7.5643,0.3104,0.671,18.5,4.6,0.4114,0.0792,0.2945
"Austria","1988-1990",0.2261534,17.55,7.6507,0.3091,0.6704,18.1333,3.3333,0.413,0.098,0.2806
"Austria","1991-1993",0.222444,19.7467,7.9086,0.3095,0.6698,18.4667,3.8333,0.4232,0.0952,0.2795
"Austria","1994-1996",0.2101125,21.92,8.0446,0.3097,0.6695,19.5333,4.4,0.426,0.0924,0.2663
"Austria","1997-1999",0.1995161,23.7567,8.081,0.3088,0.6714,18.7667,5.1,0.4383,0.1139,0.295
"Belgium","1982-1984",0.4074681,11.2267,9.855,0.4404,0.9578,18.9667,12.2,0.1916,0.0815,0.1092
"Belgium","1985-1987",0.3861065,13.74,9.8633,0.4406,0.9612,17.9667,11.3,0.1774,0.0799,0.1121
"Belgium","1988-1990",0.374831,17.2867,9.9358,0.4403,0.9643,16.4,8.5333,0.174,0.0687,0.0258
"Belgium","1991-1993",0.3723061,18.9933,10.0447,0.4404,0.9671,16.7333,7.2667,0.1681,0.069,-0.0295
"Belgium","1994-1996",0.3669772,20.8967,10.1365,0.44,0.9696,16.6667,9.4667,0.1724,0.0684,-0.0521
"Belgium","1997-1999",0.3746785,22.7467,10.2033,0.4395,0.9719,16,8.9667,0.1743,0.0614,-0.0777
"Canada","1982-1984",0.2604711,12.2133,25.4533,0.6173,0.7608,10.6,11.4,0.5758,0.1761,0.0904
"Canada","1985-1987",0.2577342,15.6067,26.232,0.6199,0.764,10.8667,9.6667,0.5812,0.1658,0.0859
"Canada","1988-1990",0.2792449,19.0367,27.355,0.6259,0.7654,10.9667,7.8,0.5778,0.1462,0.0743
"Canada","1991-1993",0.2461261,19.3433,28.5082,0.6291,0.7702,14,10.9667,0.5931,0.1563,0.0648
"Canada","1994-1996",0.2226394,21.9333,29.3793,0.6315,0.7767,13.2333,9.8,0.6012,0.1448,0.0557
"Canada","1997-1999",0.2177207,24.0033,30.2448,0.6347,0.7829,12.4,8.3333,0.6185,0.1241,0.0485
"Switzerland","1982-1984",0.1039192,15.4467,6.4173,0.2295,0.578,13.6,0.8,0.7,0.1277,0.0638
"Switzerland","1985-1987",0.1114344,19.0033,6.5063,0.2283,0.5861,13.6333,0.8667,NA,NA,NA
"Switzerland","1988-1990",0.1105508,23.1733,6.6427,0.228,0.5942,11.8667,0.6,NA,0.2366,NA
"Switzerland","1991-1993",0.1145462,24.4933,6.871,0.2278,0.6278,10.0667,2.7667,0.6927,0.1758,0.0827
"Switzerland","1994-1996",0.1048137,25.7233,7.0363,0.2223,0.6712,11.3667,3.6333,0.6877,0.1704,0.0811
"Switzerland","1997-1999",0.1321237,26.1633,7.1127,0.2214,0.6753,12.2,3.6,0.6834,0.1793,0.0873
"Germany","1982-1984",0.1769517,11.4033,78.101,0.2954,0.8344,17.1,NA,0.6449,0.0929,0.394
"Germany","1985-1987",0.1831713,14.2967,77.7553,0.2945,0.8424,16.1,NA,0.6429,0.0876,0.3927
"Germany","1988-1990",0.1813854,17.6467,78.7763,0.2944,0.8504,15.6667,NA,0.6429,0.0875,0.3965
"Germany","1991-1993",0.1783208,19.5833,80.598,0.2933,0.8578,16.4667,6.7,0.629,0.1093,0.4024
"Germany","1994-1996",0.1815538,21.6367,81.69,0.2916,0.8648,18.3667,8.4667,0.6548,0.1026,0.4096
"Germany","1997-1999",0.1930078,22.91,82.0683,0.2906,0.8712,19.1,9.2667,0.6267,0.1435,NA
"Denmark","1982-1984",0.1076537,13.1833,5.1147,0.2836,0.8409,16.9667,9.5333,0.4682,0.2454,0.1809
"Denmark","1985-1987",0.1119825,16.78,5.1207,0.2849,0.8443,15.5667,6.6333,0.4734,0.1947,0.1521
"Denmark","1988-1990",0.1196666,19.78,5.1343,0.2867,0.8471,17.5667,7.6333,0.4809,0.1899,0.146
"Denmark","1991-1993",0.1003287,21.1533,5.171,0.2886,0.8491,19.0333,9.6,0.4742,0.2003,0.1538
"Denmark","1994-1996",0.09031089,23.9933,5.2317,0.2901,0.8506,20.4667,7.2667,0.4704,0.1986,0.1488
"Denmark","1997-1999",0.1081653,25.9533,5.3014,0.2915,0.8509,18.2667,5.1667,0.4847,0.1827,0.1369
"Spain","1982-1984",0.2186335,7.7733,38.1123,0.4718,0.7364,15.8667,17.4667,0.3111,0.0562,0.1779
"Spain","1985-1987",0.1999279,9.6433,38.512,0.4718,0.7444,15.6333,20.7333,0.3527,0.1291,0.2024
"Spain","1988-1990",0.1943751,12.6133,38.765,0.4731,0.7512,15.5333,17.3667,0.4134,0.1564,0.2513
"Spain","1991-1993",0.1905149,14.15,39.0017,0.476,0.7581,17.5667,18.9667,0.4688,0.1961,0.2823
"Spain","1994-1996",0.1963859,15.7967,39.2308,0.4764,0.7649,15.2,22.8667,0.4699,0.2081,0.2811
"Spain","1997-1999",0.1998658,17.5867,39.9333,0.4762,0.7716,12.8333,18.3667,0.5018,0.2015,0.2147
"Finland","1982-1984",0.1214875,10.4333,4.855,0.5087,0.5982,12.8,5.3667,0.441,0.1406,0.1334
"Finland","1985-1987",0.159759,13.0933,4.9177,0.5095,0.6013,14.2667,5.2,0.4589,0.1482,0.1271
"Finland","1988-1990",0.1740383,16.7467,4.9663,0.5104,0.611,14.0667,3.6,0.4525,0.1498,0.1239
"Finland","1991-1993",0.1949114,16.6267,5.0407,0.511,0.6249,21.7,11.6,0.4247,0.1714,0.1332
"Finland","1994-1996",0.1733811,18.3633,5.1073,0.5122,0.6359,22.5,15.5667,0.3953,0.1372,0.1241
"Finland","1997-1999",0.1892723,21.0967,5.1526,0.5143,0.6098,18.7667,11.4667,0.421,0.1314,0.0972
"France","1982-1984",0.1715068,10.91,54.7183,0.3618,0.7351,17.3,8.4333,0.2751,0.0667,0.0938
"France","1985-1987",0.180077,13.25,55.398,0.3641,0.7373,17.4667,10.3,0.2813,0.0627,0.0829
"France","1988-1990",0.1848558,16.6067,56.3517,0.3672,0.7397,16.8667,9.6,0.2952,0.068,0.0843
"France","1991-1993",0.1906436,18.1167,57.2298,0.3698,0.7431,17.8333,10.1,0.3012,0.0735,0.0796
"France","1994-1996",0.1887686,19.8167,57.8437,0.3715,0.7471,18.5333,12.0333,0.297,0.0738,0.0709
"France","1997-1999",0.1866973,21.0967,58.4087,0.3721,0.7511,18.5,11.9667,0.2976,0.0699,0.0675
"Ireland","1982-1984",0.1088623,6.81,3.5043,0.2279,0.559,16,13.9,0.2702,0.1954,0.1903
"Ireland","1985-1987",0.1265159,8.6133,3.5427,0.2293,0.564,16.8,16.9333,0.2752,0.2005,0.1939
"Ireland","1988-1990",0.1439175,11.6633,3.5153,0.2308,0.5678,14.0667,14.8667,0.2521,0.1735,0.1669
"Ireland","1991-1993",0.15514,13.7967,3.546,0.234,0.5731,12.8333,15.2333,0.258,0.1868,0.1744
"Ireland","1994-1996",0.1696061,17.39,3.6016,0.2356,0.5792,12,12.9667,0.2668,0.1985,0.1841
