"state","year","farsocc","farsnocc","usage","percapin","unemp","meanage","precentb","precenth","densurb","densrur","viopcap","proppcap","vmtrural","vmturban","fueltax","lim65","lim70p","mlda21","bac08","ds","dp","dsp"
"AK",1983,126,24,NA,17973,10.2700004577637,28.2349662780762,0.0372674874961376,0.0252940636128187,0.92819744348526,0.28473436832428,0.00125666940584779,0.0110659571364522,2117,1241,8,0,0,1,0,0,0,0
"AK",1984,108,26,NA,18093,10.1199998855591,28.343542098999,0.0377865731716156,0.0262643061578274,0.798889577388763,0.231017112731934,0.0012100376188755,0.0106941172853112,2294,1295,8,0,0,1,0,0,0,0
"AK",1985,104,23,NA,18925,9.61999988555908,28.3728160858154,0.0386279560625553,0.0271929986774921,1.09870445728302,0.206312626600266,0.0010925343958661,0.00994419027119875,2059,1781,8,0,0,1,0,0,0,0
"AK",1986,84,17,NA,18466,10.9399995803833,28.3966522216797,0.0392214879393578,0.0282305777072906,1.07633590698242,0.182221844792366,0.00104803324211389,0.0104276901111007,2175,1833,8,0,0,1,0,0,0,0
"AK",1987,58,18,NA,18021,10.7600002288818,28.4532508850098,0.0397897325456142,0.0293170902878046,1.03193962574005,0.204922780394554,0.000844465277623385,0.00912665296345949,2123,1777,8,0,0,1,0,0,0,0
"AK",1988,75,22,NA,18447,9.17000007629395,28.8514194488525,0.0403465814888477,0.0303830951452255,0.994318187236786,0.20049861073494,0.000964620616286993,0.00811619311571121,2091,1750,8,0,0,1,0,0,0,0
"AK",1989,71,13,NA,19970,6.67999982833862,29.1489543914795,0.0410617925226688,0.0314684621989727,0.929281771183014,0.21076275408268,0.000909659545868635,0.00782626308500767,2205,1682,8,0,0,1,0,0,0,0
"AK",1990,90,8,0.449999988079071,21073,7.05000019073486,29.5862846374512,0.0415716730058193,0.032526571303606,1.09941899776459,0.190683647990227,0.000948270375374705,0.00836745835840702,2276,1703,8,0,0,1,0,0,0,0
"AK",1991,81,20,0.660000026226044,21496,8.75,29.8277111053467,0.0407729335129261,0.0328035652637482,1.11467003822327,0.190671235322952,0.00107873696833849,0.00894066132605076,2281,1740,8,0,0,1,0,1,0,0
"AK",1992,95,13,0.660000026226044,22073,9.23999977111816,30.2106971740723,0.0419295690953732,0.0333173125982285,1.11407768726349,0.167278498411179,0.00112570682540536,0.00836687348783016,2005,1836,8,1,0,1,0,1,0,0
"AK",1993,94,24,0.689999997615814,22711,7.71000003814697,30.4643859863281,0.0437321774661541,0.0335965789854527,1.09184849262238,0.166515246033669,0.0012745187850669,0.00805349368602037,2016,1902,8,1,0,1,0,1,0,0
"AK",1994,70,15,0.689999997615814,23417,7.76000022888184,30.75657081604,0.0417367331683636,0.0346424207091331,1.10774409770966,0.173483222723007,0.0012759049423039,0.00822771899402142,2176,1974,8,1,0,1,0,1,0,0
"AK",1995,80,7,0.689999997615814,23971,7.32000017166138,31.178596496582,0.039269857108593,0.0356610342860222,1.13980913162231,0.178812474012375,0.00128139171283692,0.00828308518975973,2093,2030,8,1,0,1,0,1,0,0
"AK",1996,68,13,0.689999997615814,24310,7.84000015258789,31.4453544616699,0.037945382297039,0.036531001329422,1.14874649047852,0.179144844412804,0.00120235083159059,0.00780343869701028,2053,2062,8,1,0,1,0,1,0,0
"AK",1997,66,11,0.689999997615814,24969,7.86999988555908,31.6014747619629,0.0384906232357025,0.0380428284406662,1.15959823131561,0.21025313436985,0.00115007569547743,0.00749838631600142,2309,2078,8,1,0,1,0,1,0,0
"AL",1983,808,122,NA,9505,13.6400003433228,34.2006454467773,0.254786282777786,0.00750411348417401,1.04474306106567,0.223008677363396,0.000105752034869511,0.000936686585191637,16415,14617,11,0,0,0,0,0,0,0
"AL",1984,820,112,0.129999995231628,10417,11.1700000762939,34.421630859375,0.254058003425598,0.00729585299268365,1.09882056713104,0.23509170114994,0.00010910853598034,0.000878290680702776,17216,15745,13,0,0,0,0,0,0,0
"AL",1985,773,109,0.170000001788139,11133,8.88000011444092,34.6025695800781,0.25333446264267,0.00707811443135142,1.21406936645508,0.238233685493469,0.000115178241685499,0.000877171405591071,17453,17638,13,0,0,1,0,0,0,0
"AL",1986,960,121,0.28999999165535,11736,9.82999992370605,34.7606735229492,0.252737700939178,0.00687048118561506,1.05511546134949,0.252996444702148,0.000139796509756707,0.00093455845490098,18554,15449,13,0,0,1,0,0,0,0
"AL",1987,1020,91,0.209999993443489,12394,7.76999998092651,34.9556579589844,0.252580344676971,0.00666307890787721,1.17855930328369,0.273944467306137,0.000139274066896178,0.000969349406659603,20133,17293,13,1,0,1,0,0,0,0
"AL",1988,897,127,0.28999999165535,13288,7.21000003814697,35.1369552612305,0.252604603767395,0.0064681707881391,1.11297786235809,0.284570634365082,0.000138813775265589,0.000994850182905793,20937,18747,13,1,0,1,0,0,0,0
"AL",1989,929,100,0.379999995231628,14266,7.03000020980835,35.3278579711914,0.252731293439865,0.00625324249267578,1.1265732049942,0.295680612325668,0.000146591482916847,0.00100168341305107,21789,18976,13,1,0,1,0,0,0,0
"AL",1990,1011,110,0.439999997615814,15213,6.86999988555908,35.6229248046875,0.252802968025208,0.00612171087414026,1.17248129844666,0.305968731641769,0.000175023291376419,0.0010390990646556,22586,19761,13,1,0,1,0,0,0,0
"AL",1991,1001,115,0.469999998807907,15895,7.25,35.6887359619141,0.253394484519958,0.00618575001135468,1.206463098526,0.305763959884644,0.000206403725314885,0.00110551982652396,22577,20347,13,1,0,1,0,0,0,0
"AL",1992,935,96,0.579999983310699,16817,7.42000007629395,35.8326187133789,0.254614025354385,0.00639290921390057,1.18553137779236,0.313077509403229,0.000210671249078587,0.00106257142033428,22803,22959,18,1,0,1,0,1,0,0
"AL",1993,956,88,0.550000011920929,17398,7.61999988555908,35.9482536315918,0.255688190460205,0.00675210310146213,1.22377586364746,0.324312090873718,0.000186173216206953,0.000977688585408032,23619,23718,18,1,0,1,0,1,0,0
"AL",1994,993,90,0.550000011920929,18163,6.01000022888184,36.0920104980469,0.256877958774567,0.00725574418902397,1.21655285358429,0.336348563432693,0.000161270785611123,0.000995306414552033,24541,24415,18,1,0,1,0,1,0,0
"AL",1995,1033,81,0.519999980926514,19041,6.28000020980835,36.2057456970215,0.257824212312698,0.007757477927953,1.2411630153656,0.350936144590378,0.000148076229379512,0.00098717852961272,25698,24930,18,1,1,1,1,1,0,0
"AL",1996,1054,92,0.540000021457672,19838,5.11999988555908,36.3851318359375,0.258168876171112,0.00837312452495098,1.2710280418396,0.353231191635132,0.000131760782096535,0.000991515116766095,25865,25568,18,1,1,1,1,1,0,0
"AL",1997,1095,97,0.519999980926514,20672,5.07000017166138,36.5007209777832,0.259391874074936,0.00909971538931131,1.31221747398376,0.369338124990463,0.000130598011310212,0.00100073358044028,27047,26411,18,1,1,1,1,1,0,0
"AR",1983,497,60,NA,9267,10.1000003814697,35.4221382141113,0.163092344999313,0.00784124899655581,0.758570075035095,0.158102825284004,0.0001291032822337,0.00138908054213971,10997,5687,9.5,0,0,1,0,0,0,0
"AR",1984,455,70,NA,10263,8.93000030517578,35.56396484375,0.162445142865181,0.00792618282139301,0.750197947025299,0.15742726624012,0.000138535382575355,0.00131312245503068,10936,5685,9.5,0,0,1,0,0,0,0
"AR",1985,473,61,NA,10919,8.64999961853027,35.6919136047363,0.161910429596901,0.00799982156604528,0.794292509555817,0.159804210066795,0.000149357947520912,0.00139123853296041,11100,6012,10.5,0,0,1,0,0,0,0
"AR",1986,530,73,0.197999998927116,11409,8.77000045776367,35.8672676086426,0.160966902971268,0.00807634647935629,0.814362585544586,0.163495749235153,0.00016930369019974,0.0015136816073209,11352,6203,13.5,0,0,1,0,0,0,0
"AR",1987,578,61,NA,11842,8.06999969482422,36.0081329345703,0.160253345966339,0.00816738326102495,0.848885953426361,0.170306801795959,0.000175898923771456,0.00163647322915494,11829,6477,13.5,1,0,1,0,0,0,0
"AR",1988,560,50,0.300999999046326,12637,7.67000007629395,36.1438674926758,0.159977287054062,0.00827611517161131,0.912333428859711,0.176209673285484,0.000180423608981073,0.0016207987209782,12236,6983,13.5,1,0,1,0,0,0,0
"AR",1989,585,62,NA,13353,7.21999979019165,36.2920837402344,0.159746542572975,0.00836987141519785,0.969958186149597,0.18696916103363,0.000201880917302333,0.00173969741445035,12988,7426,13.6999998092651,1,0,1,0,0,0,0
"AR",1990,543,61,0.340000003576279,14025,6.94999980926514,36.4256820678711,0.159432396292686,0.00848989933729172,0.989579260349274,0.193263024091721,0.000226059855776839,0.00184116524178535,13414,7597,13.6999998092651,1,0,1,0,0,0,0
"AR",1991,550,58,0.519999980926514,14766,7.40000009536743,36.4663162231445,0.159741103649139,0.00908165890723467,1.02238714694977,0.202610522508621,0.000250266457442194,0.00193278910592198,14079,7855,18.7000007629395,1,0,1,0,1,0,0
"AR",1992,523,65,0.550000011920929,15807,7.30000019073486,36.5056991577148,0.160305231809616,0.00963780377060175,1.04446756839752,0.216608375310898,0.000240812194533646,0.00174810411408544,15048,8033,18.7000007629395,1,0,1,0,1,0,0
"AR",1993,533,50,0.550000011920929,16380,6.23000001907349,36.5925750732422,0.160653546452522,0.0106737678870559,1.10059249401093,0.224664852023125,0.000244752678554505,0.00173988670576364,15636,8359,18.7000007629395,1,0,1,0,1,0,0
"AR",1994,547,62,0.509999990463257,17090,5.34999990463257,36.6223907470703,0.160201013088226,0.0118584893643856,1.14953756332397,0.231855511665344,0.000242845228058286,0.00171537115238607,16123,8825,18.7000007629395,1,0,1,0,1,0,0
"AR",1995,581,50,0.509999990463257,17934,4.84999990463257,36.628490447998,0.160104915499687,0.0138733424246311,1.17565631866455,0.253733903169632,0.00022304939921014,0.00166836602147669,17651,9002,18.7000007629395,1,0,1,0,1,0,0
"AR",1996,581,34,0.479999989271164,18808,5.3899998664856,36.6652374267578,0.16057176887989,0.0163947325199842,1.21239280700684,0.264204531908035,0.000209295292734168,0.00166657811496407,18507,9333,18.6000003814697,1,0,1,0,1,0,0
"AR",1997,605,55,0.479999989271164,19595,5.28999996185303,36.8175773620605,0.160584673285484,0.0178147777915001,0.972247540950775,0.219488233327866,0.000208812489290722,0.00166131055448204,18545,9599,18.6000003814697,1,0,1,0,1,0,0
"AZ",1983,541,134,NA,11277,9.10000038146973,34.1142196655273,0.0293374862521887,0.168762713670731,1.06662917137146,0.15004301071167,0.000166444355272688,0.0019863739144057,10118,9493,12,0,0,0,0,0,0,0
"AZ",1984,666,203,NA,12375,4.92999982833862,34.2470703125,0.0296794027090073,0.171230629086494,1.14063918590546,0.156700789928436,0.000168261700309813,0.00195077201351523,10548,10065,13,0,0,1,0,0,0,0
"AZ",1985,723,170,NA,13280,6.5,34.3313598632812,0.0300385635346174,0.173625528812408,1.04199659824371,0.167102456092834,0.000189258222235367,0.00204605283215642,11184,10396,13,0,0,1,0,0,0,0
"AZ",1986,816,191,NA,13980,6.92999982833862,34.475341796875,0.0302811563014984,0.175962179899216,1.06150984764099,0.176037445664406,0.000198979279957712,0.00201407843269408,11810,10855,16,0,0,1,0,0,0,0
"AZ",1987,769,170,NA,14631,6.26000022888184,34.543025970459,0.0306077711284161,0.179029077291489,1.63858652114868,0.200956150889397,0.000178226080606692,0.00191323657054454,13367,18362,16,1,0,1,0,0,0,0
"AZ",1988,745,199,NA,15246,6.26999998092651,34.6561317443848,0.0308858565986156,0.182268053293228,1.78888404369354,0.232239186763763,0.000172587286215276,0.00194082548841834,13648,20599,17,1,0,1,0,0,0,0
"AZ",1989,719,160,NA,15919,5.21000003814697,34.7041091918945,0.0311867352575064,0.185480520129204,1.49543738365173,0.333773523569107,0.000165522069437429,0.00205958518199623,14659,20157,17,1,0,1,0,0,0,0
"AZ",1990,704,165,0.550000011920929,16608,5.48000001907349,34.8856239318848,0.031454786658287,0.189006775617599,1.41030883789062,0.399810522794724,0.000177317895577289,0.00196687085554004,14771,20685,18,1,0,1,0,0,0,0
"AZ",1991,664,152,0.649999976158142,16971,5.78000020980835,35.0049057006836,0.0322513580322266,0.192790493369102,1.50508117675781,0.330522686243057,0.00017827728879638,0.00179013737943023,13602,21327,18,1,0,1,0,1,0,0
"AZ",1992,650,159,0.730000019073486,17583,7.63000011444092,35.1924667358398,0.0327136367559433,0.1974878013134,1.40573954582214,0.337560594081879,0.000173457228811458,0.00164394336752594,13788,21259,18,1,0,1,0,1,0,0
"AZ",1993,636,165,0.730000019073486,18270,6.28999996185303,35.283260345459,0.033001609146595,0.201848819851875,1.59700119495392,0.331151872873306,0.0001790355599951,0.00168189220130444,13055,26095,18,1,0,1,0,1,0,0
"AZ",1994,731,173,0.600000023841858,19127,6.3600001335144,35.4959335327148,0.0338177643716335,0.204534932971001,1.54077231884003,0.361428409814835,0.000169523060321808,0.00174104131292552,13795,24979,18,1,0,1,0,1,0,0
"AZ",1995,827,208,0.600000023841858,20078,5.07000017166138,35.4948616027832,0.0344804860651493,0.208416894078255,1.56861901283264,0.367425918579102,0.000165655335877091,0.00174134888220578,14050,25603,18,1,1,1,0,1,0,0
"AZ",1996,799,195,0.560000002384186,21071,5.51000022888184,35.552433013916,0.0351676195859909,0.212613731622696,1.67572224140167,0.385934501886368,0.000142479970236309,0.00145198707468808,14921,27202,18,1,1,1,0,1,0,0
"AZ",1997,768,183,0.629999995231628,21998,4.65999984741211,35.7004356384277,0.0356984660029411,0.216867566108704,1.62330150604248,0.401270240545273,0.000136986171128228,0.00144321261905134,15416,28075,18,1,1,1,0,1,0,0
"CA",1983,3629,944,NA,14258,9.63000011444092,33.7374572753906,0.0773412063717842,0.212448701262474,2.20174884796143,0.384247243404388,3.04647492157528e-05,0.000232840873650275,42394,140258,9,0,0,1,0,0,0,0
"CA",1984,4088,932,NA,15593,7.78000020980835,33.7844276428223,0.0771950408816338,0.218861624598503,2.34173107147217,0.412197291851044,2.95369154628133e-05,0.000220743619138375,44561,151976,9,0,0,1,0,0,0,0
"CA",1985,3977,983,0.257999986410141,16523,7.19000005722046,33.8018264770508,0.0770038217306137,0.225064635276794,2.43050312995911,0.428938955068588,2.8942367862328e-05,0.000217568012885749,46183,161417,9,0,0,1,0,0,0,0
"CA",1986,4217,1036,0.45430001616478,17255,6.67999982833862,33.8111419677734,0.0769411027431488,0.231468796730042,2.48644471168518,0.439633786678314,3.39653342962265e-05,0.000215563573874533,47349,167564,9,0,0,1,0,1,0,0
"CA",1987,4398,1106,0.480999976396561,18175,5.75,33.8221626281738,0.0768959298729897,0.238398358225822,2.60826778411865,0.529366314411163,3.30483089783229e-05,0.000201188086066395,47932,178369,9,1,0,1,0,1,0,0
"CA",1988,4172,1220,0.508499979972839,19263,5.30000019073486,33.8038063049316,0.0768848061561584,0.245751366019249,2.67607402801514,0.558965146541595,3.26662739098538e-05,0.000200451235286891,51076,190499,9,1,0,1,0,1,0,0
"CA",1989,4301,1111,0.532999992370605,20226,5.09000015258789,33.7592086791992,0.0768776759505272,0.252771437168121,2.74261546134949,0.568247854709625,3.34605429088697e-05,0.000198019391973503,52039,199443,9,1,0,1,0,1,0,0
