"id","year","output","pfuel","plab","pcap","expfuel","explab","expcap"
"cp&l",1966,5714,0.182,5.9663,0.02506,12578,12392,20865
"cp&l",1967,6200,0.185,6.0033,0.02517,13705,12553,21573
"cp&l",1968,6938,0.186,6.4609,0.02768,15161,13794,25547
"cp&l",1969,7846,0.187,6.7314,0.0286,17201,14661,28140
"cp&l",1970,8169,0.2,7.1181,0.03197,18937,16030,33262
"cp&l",1971,8982,0.21,7.749,0.03368,21411,18218,37772
"cp&l",1972,9839,0.235,8.3449,0.03572,25526,20036,43500
"cp&l",1973,10506,0.341,8.9069,0.03565,39432,21724,45437
"cp&l",1974,10590,0.825,9.8235,0.04213,93120,23989,58036
"cp&l",1975,9783,1.442,11.639,0.04816,141793,26921,69083
"cp&l",1976,10395,1.826,12.8065,0.05071,193167,28661,76819
"cp&l",1977,12427,1.954,13.8794,0.04537,247401,30382,69912
"cp&l",1978,13394,2.101,14.6606,0.05224,283254,32180,81380
"cp&l",1979,13668,2.193,14.909,0.05922,304999,35066,93997
"cp&l",1980,14683,2.428,15.8998,0.07043,379441,38239,128568
"cp&l",1981,15573,2.975,18.1787,0.07958,476742,44865,148713
"cp&l",1982,15337,3.501,20.7588,0.08527,546314,53018,162761
"cp&l",1983,15596,3.271,22.5451,0.09337,549823,58527,185286
"dp&l",1966,5575,0.197,5.9169,0.0258,11650,11467,21609
"dp&l",1967,6170,0.203,5.9361,0.02728,13304,12068,26036
"dp&l",1968,6718,0.208,6.1518,0.0279,14913,12925,27869
"dp&l",1969,7801,0.221,6.5261,0.02873,19019,14488,30207
"dp&l",1970,8372,0.231,7.1177,0.03056,20906,16563,34590
"dp&l",1971,8831,0.249,7.8417,0.03097,23450,18475,37831
"dp&l",1972,9937,0.279,8.5415,0.03396,29994,20192,43830
"dp&l",1973,10674,0.29,9.3409,0.03819,35307,22194,53744
"dp&l",1974,10200,0.425,9.8758,0.03969,51749,23613,57777
"dp&l",1975,10691,0.743,11.1147,0.04275,85499,25486,63808
"dp&l",1976,11526,1.065,13.3925,0.04551,128059,29035,68810
"dp&l",1977,12410,1.296,14.2025,0.04709,165618,31416,74180
"dp&l",1978,12101,1.321,15.8942,0.05206,165940,35889,84305
"dp&l",1979,11856,1.378,18.1036,0.05535,174651,43159,94164
"dp&l",1980,12847,1.461,20.134,0.05977,210508,49147,103929
"dp&l",1981,12625,1.876,22.9052,0.06145,267010,56072,109536
"dp&l",1982,12971,2.268,25.6804,0.0699,323391,63713,127482
"dp&l",1983,13426,2.33,28.5864,0.07709,338814,68636,143685
