"cusip","year","isic","ikb","ikn","qb","qn","kstock","ikicb","ikicn","omphi","qicb","qicn","sb","sn"
2824,1951,2835,0.2295212,0.20488372,5.61020543,10.91000711,27.3325761,NA,0.01199952,0.18409851,NA,NA,NA,NA
2824,1952,2835,0.0402645,0.19974634,6.00705363,12.23462892,30.538733,0.19315573,0.02447972,0.0968345,0.24505743,0.06601446,1.97863295,4.02317797
2824,1953,2835,0.0403505,0.11033265,4.19340748,7.41011005,31.7222507,0.00291853,0.09762919,0.0744612,1.90015529,4.68532151,1.55057858,3.30391208
2824,1954,2835,0.0517726,0.12583384,4.00239704,6.77981195,32.5826498,-0.00765625,-0.00634822,0.07273855,0.42118149,0.94713869,1.64929822,3.08597312
2824,1955,2835,0.0549835,0.06819211,4.47440615,7.37226581,32.2617961,-0.00014476,0.06144447,0.05576506,-0.16571387,-0.13537009,1.63789192,2.93731143
2824,1956,2835,0.0758752,0.09540332,3.67770645,6.09777882,34.5899921,-0.01635406,-0.02150578,0.05980321,1.06339517,1.75148589,1.70487731,2.94663962
2824,1957,2835,0.1478231,0.19270433,2.93128432,4.74793827,40.9954455,-0.06239937,-0.08485333,0.06459472,0.96106863,1.68612114,1.85185808,3.26477722
2824,1958,2835,0.1383829,0.18956012,3.46744321,5.49703844,44.8406552,0.02027313,0.01798332,0.07828181,0.00119388,0.08145659,2.06131014,3.60053482
2824,1959,2835,0.1334354,0.20140658,5.21942442,8.33415201,51.1403342,0.0153929,0.00391983,0.07828093,-1.51654167,-2.4971065,1.85481659,3.118328
2824,1960,2835,0.1330718,0.17066357,4.35990187,6.60660449,55.6650729,0.01178732,0.04539387,0.08584642,1.13562458,2.06695753,1.80907405,2.99809346
2824,1961,2835,0.0963398,0.15999073,3.13720956,4.64336309,58.7534057,0.0454997,0.02523322,0.09100762,1.51796749,2.39040486,1.70621151,2.69316659
2824,1962,2835,0.1084134,0.1433293,4.84434137,7.0520096,62.0947691,-0.00350323,0.02799196,0.07905252,-1.14366382,-1.61497404,1.60883667,2.5180532
2824,1963,2835,0.0842504,0.09747342,5.11922508,7.41294363,62.5811635,0.03122506,0.05402638,0.08382286,0.36742021,0.57146909,1.73119563,2.62235823
2824,1964,2835,0.1533052,0.15371217,8.81451242,13.20459176,66.3577914,-0.06206137,-0.04922673,0.04561782,-3.18884501,-5.00427038,1.8125677,2.72440834
2824,1965,2835,0.232439,0.253739,9.66398092,15.07406989,80.0034669,-0.07069536,-0.09081512,0.03630392,-0.62327043,-1.4554528,2.34774872,3.59003738
2824,1966,2835,0.201149,0.20333136,7.91094425,12.42210436,92.9517196,0.04591586,0.06519219,0.0727116,2.18080683,3.33419289,2.35444482,3.74085948
2824,1967,2835,0.2359204,0.2787013,6.29639563,10.09005028,117.688724,-0.01446796,-0.05138476,0.08606051,2.19962278,3.30259445,2.17300641,3.48917042
2824,1968,2835,0.2282534,0.26477768,5.67842112,8.81962431,148.4264082,0.0432766,0.05523134,0.15600908,1.8367818,3.16234853,2.09247859,3.45168123
2824,1969,2835,0.1476661,0.13710129,7.27182758,11.15780552,163.3828559,0.09127814,0.13760236,0.07239881,-0.54727662,-0.73138052,1.94755855,3.13486359
2824,1970,2835,0.1390223,0.15885805,6.51642802,10.38193792,183.6545277,0.01049607,-0.01964025,0.01332329,1.03764031,1.27753708,1.81708544,2.86030268
2824,1971,2835,0.0906821,0.15617075,5.52542852,8.70223946,206.9401592,0.05336549,0.01134175,0.05541661,1.44398386,2.39578255,1.80630118,2.93632594
2824,1972,2835,0.1343301,0.13741554,4.19951229,6.19023632,226.9830658,-0.03255158,0.03010652,0.08260573,1.84040387,3.19367533,1.61438642,2.61689418
2824,1973,2834,0.170189,0.14395344,3.94446318,5.89185002,246.3296424,-0.02425613,0.00327622,0.06817566,0.80574967,1.15800358,1.74092517,2.65764824
2824,1974,2834,0.2187983,0.16449669,1.96586231,2.98265658,292.9177407,-0.0364682,-0.01141534,0.05548996,2.83481577,4.37042895,1.80805949,2.80364345
2824,1975,2834,0.1124419,0.14597343,1.53127434,2.37886488,358.6337511,0.11290876,0.02702953,0.05827275,1.22393846,2.09566164,1.94826794,3.20753264
2824,1976,2834,0.0987447,0.13371218,2.59496776,4.03099938,399.0287209,0.02166656,0.02305284,0.08070761,-0.7252812,-1.25501866,1.95260646,3.46102003
2824,1977,2834,0.123085,0.14274937,2.85831569,4.35347486,447.8829011,-0.01543952,0.00128554,0.07231363,-0.32025633,-0.5086154,1.96231929,3.27548424
2824,1978,2834,0.158949,0.16139868,2.9678487,4.49656909,521.3735181,-0.02456573,-0.00717691,0.0710812,0.30657014,0.48899643,2.0821516,3.38248934
2824,1979,2834,0.1469499,0.1762532,2.93944809,4.502361,622.0369421,0.01658133,-0.00935856,0.03118217,0.34639876,0.5128098,2.19086167,3.52671647
