"year","pair","trade","gdp","sim","rlf","rer","cee","emu","dist","bor","lan","rert","ftrade","fgdp","fsim","frlf","frer"
1960,1,2.927572,12.07024,-0.7225348,4.08366,-4.204118,0,0,6.816736,0,0,3.2835,3.2729,12.6399,-1.3927,8.0524,-1.5352
1961,1,2.945885,12.12012,-0.7225878,3.38687,-4.193465,0,0,6.816736,0,0,3.3213,3.4076,12.6952,-1.3874,8.0404,-1.513
1962,1,3.023661,12.16015,-0.7272015,5.849378,-4.181783,0,0,6.816736,0,0,3.3181,3.5134,12.7435,-1.3917,8.1452,-1.499
1963,1,2.986535,12.20124,-0.7275392,5.928937,-4.169314,0,0,6.816736,0,0,3.3159,3.6078,12.7893,-1.3884,8.1614,-1.4865
1964,1,3.081419,12.26458,-0.7293577,6.144835,-4.156189,0,0,6.816736,0,0,3.3266,3.7607,12.8565,-1.3871,8.2114,-1.4734
1965,1,3.105979,12.28963,-0.7283826,5.900357,-4.140495,0,0,6.816736,0,0,3.3569,3.8522,12.9015,-1.3827,8.2225,-1.4577
1966,1,3.136201,12.33047,-0.724102,4.292998,-4.111032,0,0,6.816736,0,0,3.3853,3.9179,12.9327,-1.38,8.2459,-1.4282
1967,1,3.022584,12.36409,-0.725274,5.166938,-4.083588,0,0,6.816736,0,0,3.4028,3.9352,12.9694,-1.3731,8.3038,-1.4166
1968,1,3.181022,12.40667,-0.7249336,4.953155,-4.042024,0,0,6.816736,0,0,3.3983,3.9937,13.0178,-1.3695,8.3146,-1.4759
1969,1,3.290374,12.47065,-0.7258853,5.345926,-3.989077,0,0,6.816736,0,0,3.4202,4.1484,13.0784,-1.3679,8.3644,-1.4269
1970,1,3.462359,12.5342,-0.7243012,5.050638,-3.931905,0,0,6.816736,0,0,3.477,4.2587,13.1565,-1.3787,8.3522,-1.3699
1971,1,3.542516,12.57561,-0.7218218,3.826516,-3.834554,0,0,6.816736,0,0,3.5314,4.3246,13.19,-1.3729,8.3446,-1.2988
1972,1,3.747029,12.62992,-0.720134,5.125741,-3.621043,0,0,6.816736,0,0,3.6421,4.4935,13.2375,-1.3622,8.2657,-1.1492
1973,1,3.969615,12.68456,-0.7221171,4.360707,-3.302672,0,0,6.816736,0,0,3.9088,4.7014,13.2947,-1.3598,8.3109,-0.9193
1974,1,4.014949,12.72444,-0.7224568,4.439706,-3.109869,0,0,6.816736,0,0,4.1289,4.6649,13.3176,-1.3637,8.3562,-0.8355
1975,1,3.967766,12.71318,-0.7202744,5.262923,-2.892745,0,0,6.816736,0,0,4.2908,4.6046,13.3154,-1.3518,8.294,-0.6984
1976,1,4.111346,12.77367,-0.7180898,3.966896,-2.92328,0,0,6.816736,0,0,4.2226,4.6785,13.3597,-1.3544,8.3631,-0.8593
1977,1,4.350965,12.7962,-0.7121474,6.790279,-2.699554,0,0,6.816736,0,0,4.2619,4.7334,13.389,-1.3502,8.3696,-0.8357
1978,1,4.352256,12.81063,-0.7167199,5.672759,-2.365641,0,0,6.816736,0,0,4.4177,4.8269,13.4202,-1.3488,8.262,-0.6545
1979,1,4.425731,12.84478,-0.7119305,6.913174,-2.105969,0,0,6.816736,0,0,4.6147,4.9844,13.4549,-1.3461,8.3706,-0.4446
1980,1,4.408284,12.88019,-0.7150433,6.420116,-1.942679,0,0,6.816736,0,0,4.735,4.9608,13.4724,-1.3399,8.41,-0.3323
1981,1,4.169593,12.8758,-0.7141799,6.737,-2.285784,0,0,6.816736,0,0,4.582,4.7834,13.4738,-1.3359,8.3308,-0.6684
1982,1,4.087884,12.89115,-0.7132955,6.85165,-2.504329,0,0,6.816736,0,0,4.4528,4.7935,13.4854,-1.3315,8.3851,-0.917
