"id","year","country","indusid","importid","lrex","lrfdi","lgdt","lsimi","lrk","lrh","lrl","ldist","lkldist","lkgdt"
"1-1",1989,"germany",1,1,4.409155,6.246107,27.39172,-0.8217111,-0.48259,-1.514944,0.4995219,7.559548,-7.424322,13.21897
"1-1",1990,"germany",1,1,4.399375,7.356918,27.40435,-0.8112386,-0.481769,-1.526354,0.4982678,7.559548,-7.408636,13.20257
"1-1",1991,"germany",1,1,4.317488,7.313221,27.43013,-0.7717743,-0.4777223,-1.506072,0.5025283,7.559548,-7.410252,13.10398
"1-1",1992,"germany",1,1,4.380776,7.575072,27.44324,-0.7687534,-0.4729931,-1.359904,0.5058399,7.559548,-7.399535,12.98046
"1-1",1993,"germany",1,1,4.322807,7.600402,27.46319,-0.770839,-0.4664921,-1.30238,0.5116327,7.559548,-7.394182,12.81136
"1-1",1994,"germany",1,1,4.445002,7.342132,27.50373,-0.7751783,-0.4634577,-1.267242,0.5165587,7.559548,-7.408482,12.74682
"1-1",1995,"germany",1,1,4.498698,7.284821,27.53065,-0.7752604,-0.4548637,-1.211066,0.5253446,7.559548,-7.409932,12.5227
"1-1",1996,"germany",1,1,4.366913,7.25982,27.55265,-0.7700476,-0.4458345,-1.153308,0.5269018,7.559548,-7.353447,12.28392
"1-1",1997,"germany",1,1,4.275276,7.231287,27.59175,-0.77297,-0.4476942,-1.095314,0.5306107,7.559548,-7.395543,12.35266
"1-1",1998,"germany",1,1,4.295924,7.077498,27.61901,-0.7770438,-0.4512249,-1.03858,0.5360818,7.559548,-7.463593,12.46238
"1-1",1999,"germany",1,1,4.348987,6.576469,27.65638,-0.7831538,-0.4630021,-0.9829781,0.54195,7.559548,-7.596984,12.80496
"1-2",1989,"germany",2,1,5.845282,5.820083,27.39172,-0.8217111,-0.48259,-1.514944,0.4995219,7.559548,-7.424322,13.21897
"1-2",1990,"germany",2,1,5.875773,5.834811,27.40435,-0.8112386,-0.481769,-1.526354,0.4982678,7.559548,-7.408636,13.20257
"1-2",1991,"germany",2,1,7.048473,5.955837,27.43013,-0.7717743,-0.4777223,-1.506072,0.5025283,7.559548,-7.410252,13.10398
"1-2",1992,"germany",2,1,7.048473,5.908083,27.44324,-0.7687534,-0.4729931,-1.359904,0.5058399,7.559548,-7.399535,12.98046
"1-2",1993,"germany",2,1,7.048473,5.918894,27.46319,-0.770839,-0.4664921,-1.30238,0.5116327,7.559548,-7.394182,12.81136
"1-2",1994,"germany",2,1,6.061923,5.288267,27.50373,-0.7751783,-0.4634577,-1.267242,0.5165587,7.559548,-7.408482,12.74682
"1-2",1995,"germany",2,1,7.157735,5.365976,27.53065,-0.7752604,-0.4548637,-1.211066,0.5253446,7.559548,-7.409932,12.5227
"1-2",1996,"germany",2,1,7.157735,5.476463,27.55265,-0.7700476,-0.4458345,-1.153308,0.5269018,7.559548,-7.353447,12.28392
"1-2",1997,"germany",2,1,7.157735,5.480639,27.59175,-0.77297,-0.4476942,-1.095314,0.5306107,7.559548,-7.395543,12.35266
"1-2",1998,"germany",2,1,6.26416,5.398163,27.61901,-0.7770438,-0.4512249,-1.03858,0.5360818,7.559548,-7.463593,12.46238
